index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:32 AM
2,aa,AA-1733-ORD-PHX,07:45 PM,07:58 PM,10:30 PM,10:30 PM
3,aa,AA-1640-MIA-MCO,06:30 PM,06:30 PM,07:25 PM,07:25 PM
4,aa,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:28 AM
5,aa,AA-3756-ORD-SLC,12:15 PM,12:41 PM,02:45 PM,02:50 PM
6,aa,AA-204-LAX-MCO,11:25 PM,11:25 PM,06:55 AM,06:55 AM
7,aa,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:45 AM
8,aa,AA-484-DFW-MIA,04:15 PM,04:29 PM,07:55 PM,07:39 PM
9,aa,AA-446-DFW-PHL,11:50 AM,12:12 PM,03:50 PM,04:09 PM
10,aa,AA-466-IAH-MIA,06:00 AM,06:08 AM,09:20 AM,09:05 AM
11,aa,AA-1886-BOS-MIA,10:45 AM,10:55 AM,02:20 PM,01:40 PM
12,aa,AA-2957-DFW-CVG,07:55 AM,08:04 AM,11:05 AM,11:01 AM
13,aa,AA-1664-MIA-ATL,10:15 AM,10:18 AM,12:10 PM,11:56 AM
14,aa,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,08:06 AM
15,aa,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:30 PM
16,aa,AA-616-DFW-DTW,09:05 AM,10:10 AM,12:35 PM,01:27 PM
17,aa,AA-4344-ORD-DTW,11:45 AM,12:13 PM,02:00 PM,02:10 PM
18,aa,AA-2525-DFW-MIA,07:25 AM,07:39 AM,11:10 AM,11:06 AM
19,aa,AA-404-MIA-MCO,06:45 AM,06:57 AM,07:45 AM,07:40 AM
20,aa,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:27 PM
21,aa,AA-2050-ORD-MIA,10:40 AM,11:05 AM,02:45 PM,02:46 PM
22,aa,AA-4330-CVG-ORD,03:35 PM,03:36 PM,04:00 PM,03:33 PM
23,aa,AA-1434-DFW-MCO,07:15 AM,07:21 AM,10:35 AM,10:36 AM
24,aa,AA-4307-ORD-DTW,06:45 PM,06:55 PM,09:10 PM,08:53 PM
25,aa,AA-3-JFK-LAX,12:00 PM,12:11 PM,03:15 PM,03:16 PM
26,aa,AA-3842-MSP-ORD,06:00 AM,06:56 AM,07:30 AM,07:51 AM
27,aa,AA-643-MIA-ORD,07:10 AM,07:30 AM,09:35 AM,09:31 AM
28,aa,AA-1007-MIA-PHX,04:55 PM,05:08 PM,08:05 PM,07:55 PM
29,aa,AA-1221-MCO-ORD,08:00 PM,08:23 PM,09:45 PM,09:53 PM
30,aa,AA-400-DFW-JFK,10:40 AM,11:01 AM,02:59 PM,03:04 PM
31,aa,AA-4198-ORD-CLE,10:40 AM,10:54 AM,12:55 PM,12:50 PM
32,aa,AA-1522-SFO-ORD,11:55 PM,11:55 PM,05:50 AM,05:50 AM
33,aa,AA-3823-LAX-DEN,09:00 PM,09:00 PM,12:15 AM,12:15 AM
34,aa,AA-2312-DFW-DTW,08:25 PM,08:25 PM,11:50 PM,11:50 PM
35,aa,AA-1165-JFK-MIA,06:59 AM,07:22 AM,10:34 AM,10:04 AM
36,aa,AA-431-MIA-SFO,08:35 AM,08:51 AM,11:50 AM,11:44 AM
