customer_id,age,monthly_spend,orders_last_month,region,is_active
1001,24,82.50,3,North,true
1002,31,119.20,5,South,true
1003,28,95.75,4,East,false
1004,35,142.10,6,West,true
1005,42,168.40,7,North,true
1006,26,88.90,3,South,false
1007,33,127.65,5,East,true
1008,29,104.30,4,West,true
1009,38,151.80,6,North,false
1010,45,189.25,8,South,true
1011,23,74.60,2,East,true
1012,36,138.90,6,West,false
1013,41,162.35,7,North,true
1014,27,91.45,3,South,true
1015,32,116.70,5,East,false
1016,39,155.20,6,West,true
1017,34,133.55,5,North,true
1018,48,201.10,9,South,false
1019,25,79.85,2,East,true
1020,97,176.40,7,West,true
1021,37,146.75,6,North,false
1022,30,110.25,4,South,true
1023,44,183.60,8,East,true
1024,28,98.15,4,West,false
1025,40,159.90,7,North,true
1026,22,68.40,2,South,true
1027,35,141.30,6,East,false
1028,43,171.85,7,West,true
1029,31,121.55,5,North,true
1030,52,214.20,10,South,false
1031,29,102.70,4,East,true
1032,36,137.45,6,West,true
1033,47,196.80,9,North,false
1034,24,77.95,3,South,true
1035,38,153.10,6,East,true
1036,33,129.40,5,West,false
1037,41,165.75,7,North,true
1038,26,86.20,3,South,true
1039,34,135.90,6,East,false
1040,49,205.55,9,West,true
1041,30,112.80,4,North,true
1042,45,186.35,8,South,false
1043,27,93.60,3,East,true
1044,39,157.25,7,West,true
1045,18,71.15,2,North,false
1046,42,169.80,7,South,true
1047,32,118.45,5,East,true
1048,50,1200.00,40,West,false
1049,35,140.15,6,North,true
1050,46,191.70,8,South,true
